E_c,E_p
8.890,1.233
8.957,1.167
9.022,1.102
9.086,1.039
9.148,0.978
9.209,0.918
9.268,0.860
9.326,0.803
9.382,0.748
9.436,0.695
9.489,0.643
9.539,0.594
9.588,0.546
9.635,0.500
9.680,0.456
9.724,0.413
9.765,0.373
9.804,0.335
9.842,0.298
9.877,0.264
9.911,0.231
9.942,0.201
9.971,0.173
9.999,0.147
10.024,0.123
10.047,0.101
10.068,0.081
10.086,0.063
10.103,0.048
10.117,0.034
10.130,0.023
10.140,0.014
10.148,0.007
10.153,0.003
10.157,0.000
10.158,0.000
10.157,0.002
10.154,0.006
10.149,0.013
10.142,0.021
10.132,0.032
10.120,0.045
10.106,0.060
10.090,0.077
10.072,0.097
10.051,0.118
10.029,0.142
10.004,0.168
9.977,0.196
9.948,0.226
9.917,0.258
9.884,0.292
9.849,0.328
9.812,0.366
9.773,0.406
9.732,0.448
9.689,0.492
9.644,0.538
9.597,0.586
9.549,0.635
9.498,0.687
9.446,0.740
9.392,0.795
9.336,0.852
9.279,0.910
9.220,0.970
9.159,1.031
9.097,1.095
9.033,1.159
8.968,1.225
8.901,1.293
8.833,1.362
8.764,1.433
8.693,1.504
8.621,1.577
8.548,1.651
8.473,1.727
8.397,1.803
8.320,1.881
8.242,1.960
8.164,2.039
8.084,2.120
8.003,2.202
7.921,2.284
7.839,2.367
7.756,2.451
7.672,2.536
7.587,2.621
7.502,2.707
7.416,2.793
7.330,2.880
7.243,2.968
7.156,3.055
7.069,3.143
6.981,3.232
6.893,3.320
6.805,3.409
6.717,3.498
6.629,3.586
6.540,3.675
6.452,3.764
6.364,3.853
6.276,3.941
6.188,4.030
6.100,4.118
6.013,4.206
5.926,4.293
5.840,4.380
5.754,4.466
5.668,4.552
5.583,4.638
5.499,4.723
5.415,4.807
5.332,4.890
5.249,4.973
5.168,5.055
5.087,5.136
5.008,5.216
4.929,5.295
4.851,5.373
4.774,5.450
4.698,5.526
4.624,5.601
4.550,5.675
4.478,5.747
4.407,5.818
4.337,5.888
4.269,5.957
4.201,6.024
4.136,6.090
4.071,6.155
4.008,6.218
3.947,6.280
3.887,6.340
3.828,6.399
3.771,6.456
3.716,6.511
3.662,6.565
3.609,6.618
3.559,6.669
3.510,6.718
3.462,6.765
3.416,6.811
3.372,6.855
3.330,6.898
3.289,6.939
3.250,6.978
3.212,7.016
3.176,7.052
3.142,7.086
3.110,7.118
3.079,7.149
3.049,7.179
3.022,7.207
2.995,7.233
2.971,7.257
2.948,7.280
2.926,7.302
2.906,7.322
2.888,7.340
2.871,7.357
2.855,7.373
2.841,7.387
2.828,7.400
2.816,7.412
2.806,7.422
2.797,7.431
2.789,7.439
2.783,7.445
2.778,7.451
2.774,7.455
2.771,7.457
2.769,7.459
2.769,7.460
2.769,7.459
2.771,7.457
2.774,7.454
2.779,7.450
2.784,7.444
2.791,7.437
2.799,7.429
2.808,7.420
2.819,7.410
2.830,7.398
2.844,7.385
2.858,7.370
2.874,7.354
2.892,7.337
2.910,7.318
2.931,7.298
2.953,7.276
2.976,7.252
3.001,7.228
3.027,7.201
3.056,7.173
3.085,7.143
3.117,7.112
3.150,7.079
3.184,7.044
3.221,7.008
3.259,6.970
3.298,6.930
3.340,6.889
3.383,6.846
3.427,6.802
3.474,6.755
3.522,6.707
3.572,6.658
3.623,6.606
3.676,6.554
3.730,6.499
3.786,6.443
3.844,6.386
3.903,6.327
3.964,6.266
4.026,6.204
4.090,6.140
4.155,6.075
4.222,6.009
4.290,5.941
4.359,5.872
4.430,5.801
4.502,5.730
4.575,5.657
4.650,5.582
4.725,5.507
4.802,5.431
4.880,5.353
4.959,5.275
5.039,5.195
5.119,5.114
5.201,5.033
5.284,4.951
5.367,4.868
5.451,4.784
5.536,4.699
5.622,4.614
5.708,4.528
5.795,4.442
5.882,4.355
5.970,4.268
6.058,4.180
6.147,4.092
6.236,4.003
6.325,3.914
6.415,3.826
6.504,3.736
6.594,3.647
6.684,3.558
