Symplectic Euler,,
E_c,E_p,E_m
35.401,2.793,38.194
35.866,2.306,38.172
36.288,1.862,38.150
36.664,1.463,38.127
36.993,1.110,38.104
37.275,0.804,38.080
37.509,0.547,38.055
37.693,0.338,38.031
37.827,0.179,38.006
37.911,0.070,37.981
37.944,0.011,37.955
37.927,0.003,37.930
37.859,0.045,37.905
37.741,0.138,37.880
37.573,0.282,37.855
37.355,0.475,37.830
37.089,0.717,37.806
36.775,1.007,37.782
36.413,1.345,37.758
36.006,1.729,37.736
35.555,2.159,37.714
35.060,2.633,37.692
34.523,3.148,37.672
33.947,3.705,37.652
33.332,4.301,37.633
32.681,4.934,37.615
31.996,5.602,37.598
31.279,6.304,37.582
30.532,7.036,37.568
29.757,7.797,37.554
28.957,8.585,37.542
28.135,9.396,37.531
27.292,10.229,37.521
26.432,11.081,37.513
25.557,11.949,37.506
24.669,12.831,37.500
23.772,13.723,37.495
22.869,14.624,37.492
21.961,15.530,37.491
21.052,16.439,37.490
20.144,17.347,37.491
19.241,18.253,37.494
18.344,19.154,37.498
17.457,20.046,37.503
16.582,20.927,37.509
15.721,21.795,37.517
14.878,22.648,37.525
14.054,23.482,37.535
13.252,24.295,37.547
12.474,25.085,37.559
11.721,25.851,37.572
10.997,26.589,37.586
10.303,27.299,37.601
9.640,27.977,37.617
9.010,28.624,37.634
8.414,29.237,37.651
7.854,29.815,37.669
7.329,30.358,37.687
6.842,30.864,37.706
6.392,31.332,37.724
5.980,31.763,37.743
5.605,32.157,37.762
5.268,32.512,37.780
4.968,32.831,37.799
4.703,33.113,37.817
4.474,33.360,37.834
4.279,33.572,37.851
4.116,33.751,37.867
3.985,33.898,37.882
3.883,34.014,37.897
3.811,34.100,37.911
3.767,34.158,37.925
3.750,34.189,37.939
3.761,34.192,37.952
3.798,34.168,37.966
3.864,34.116,37.980
3.958,34.037,37.995
4.082,33.928,38.010
4.237,33.788,38.026
4.425,33.617,38.042
4.646,33.413,38.059
4.902,33.175,38.077
5.194,32.901,38.095
5.523,32.591,38.113
5.888,32.244,38.132
6.292,31.859,38.151
6.733,31.437,38.170
7.211,30.977,38.189
7.727,30.480,38.207
8.279,29.946,38.225
8.867,29.376,38.243
9.489,28.771,38.260
10.144,28.133,38.276
10.831,27.461,38.292
11.548,26.759,38.307
12.294,26.027,38.321
13.066,25.268,38.334
13.863,24.483,38.346
14.682,23.675,38.357
15.521,22.846,38.367
16.378,21.997,38.375
17.250,21.133,38.383
18.134,20.254,38.389
19.029,19.364,38.393
19.931,18.466,38.397
20.838,17.561,38.399
21.747,16.653,38.399
22.655,15.744,38.399
23.560,14.837,38.397
24.459,13.934,38.393
25.349,13.040,38.389
26.227,12.155,38.382
27.091,11.284,38.375
27.938,10.428,38.366
28.766,9.590,38.356
29.571,8.774,38.345
30.352,7.980,38.332
31.106,7.213,38.318
31.830,6.473,38.303
32.523,5.764,38.287
33.182,5.088,38.270
33.805,4.447,38.252
34.391,3.842,38.233
34.937,3.276,38.213
35.442,2.750,38.192
35.904,2.267,38.170
36.322,1.827,38.148
36.694,1.431,38.125
37.019,1.082,38.102
37.297,0.781,38.078
37.526,0.527,38.053
37.706,0.323,38.029
37.836,0.168,38.004
37.916,0.063,37.978
37.945,0.008,37.953
37.923,0.005,37.928
37.851,0.051,37.903
37.729,0.149,37.877
37.556,0.296,37.852
37.335,0.493,37.828
37.064,0.739,37.804
36.746,1.034,37.780
36.381,1.376,37.756
35.970,1.764,37.734
35.514,2.198,37.712
35.016,2.675,37.690
34.476,3.194,37.670
33.896,3.754,37.650
33.278,4.353,37.631
32.624,4.989,37.614
31.936,5.661,37.597
31.216,6.365,37.581
30.467,7.100,37.567
29.690,7.863,37.553
28.888,8.653,37.541
28.064,9.466,37.530
27.220,10.301,37.520
26.358,11.154,37.512
25.482,12.023,37.505
24.593,12.906,37.499
23.696,13.799,37.495
22.792,14.700,37.492
21.884,15.607,37.491
20.975,16.516,37.490
20.067,17.424,37.492
19.164,18.330,37.494
18.268,19.230,37.498
17.382,20.121,37.503
16.508,21.002,37.510
15.649,21.868,37.517
14.807,22.719,37.526
13.985,23.551,37.536
13.185,24.363,37.548
12.409,25.151,37.560
11.659,25.914,37.573
10.937,26.650,37.588
10.245,27.357,37.603
9.585,28.034,37.619
8.958,28.677,37.635
8.365,29.288,37.653
7.808,29.863,37.670
7.286,30.402,37.689
6.802,30.905,37.707
6.356,31.370,37.726
5.947,31.798,37.745
5.575,32.188,37.763
5.241,32.541,37.782
4.944,32.857,37.800
4.682,33.136,37.818
4.456,33.379,37.835
4.263,33.589,37.852
4.104,33.765,37.868
3.975,33.909,37.884
3.876,34.022,37.898
3.806,34.106,37.913
3.764,34.162,37.926
3.750,34.190,37.940
3.763,34.191,37.954
3.803,34.165,37.967
3.871,34.111,37.981
3.967,34.029,37.996
4.094,33.917,38.011
4.252,33.775,38.027
4.442,33.601,38.043
4.666,33.394,38.061
4.925,33.153,38.078
5.220,32.876,38.096
5.552,32.563,38.115
5.921,32.213,38.134
6.328,31.825,38.153
6.772,31.399,38.171
7.254,30.937,38.190
7.772,30.436,38.209
8.327,29.899,38.227
8.918,29.326,38.244
9.543,28.718,38.261
10.201,28.077,38.278
10.891,27.403,38.294
11.611,26.698,38.308
12.359,25.963,38.322
13.133,25.202,38.335
13.932,24.415,38.347
14.753,23.605,38.358
15.593,22.774,38.367
16.451,21.925,38.376
17.324,21.059,38.383
18.210,20.179,38.389
19.105,19.288,38.394
20.008,18.389,38.397
20.915,17.484,38.399
21.824,16.575,38.399
22.732,15.666,38.399
23.637,14.760,38.396
24.535,13.858,38.393
25.424,12.964,38.388
26.301,12.081,38.382
27.164,11.210,38.374
28.009,10.356,38.365
28.835,9.520,38.355
29.638,8.705,38.344
30.417,7.914,38.331
31.168,7.149,38.317
31.890,6.412,38.302
32.580,5.706,38.286
33.236,5.032,38.269
33.857,4.394,38.250
34.439,3.792,38.231
34.982,3.230,38.211
35.483,2.707,38.190
35.941,2.227,38.169
36.355,1.791,38.146
36.723,1.400,38.123
37.045,1.055,38.100
37.318,0.757,38.076
37.543,0.508,38.051
37.719,0.307,38.026
37.845,0.157,38.001
37.920,0.056,37.976
37.945,0.006,37.951
37.919,0.007,37.926
37.843,0.058,37.900
37.716,0.159,37.875
37.539,0.311,37.850
37.314,0.512,37.826
37.039,0.763,37.802
36.717,1.061,37.778
36.347,1.407,37.755
35.933,1.799,37.732
35.473,2.236,37.710
34.971,2.717,37.689
34.428,3.240,37.668
33.845,3.804,37.648
33.224,4.406,37.630
32.567,5.045,37.612
31.876,5.719,37.595
31.154,6.426,37.580
30.402,7.163,37.565
29.623,7.929,37.552
28.819,8.721,37.540
27.993,9.536,37.529
27.147,10.373,37.520
26.284,11.227,37.511
25.407,12.098,37.505
24.517,12.981,37.499
23.619,13.876,37.495
22.715,14.777,37.492
21.806,15.684,37.490
20.897,16.593,37.490
19.990,17.501,37.492
19.088,18.407,37.494
18.192,19.306,37.498
17.307,20.196,37.504
16.434,21.076,37.510
15.577,21.941,37.518
14.736,22.791,37.527
13.916,23.621,37.537
13.118,24.431,37.549
12.344,25.217,37.561
