Explicict Eueler,,
E_c,E_p,E_m
54.212,1.532,55.744
54.696,1.087,55.783
55.106,0.717,55.823
55.440,0.422,55.862
55.697,0.204,55.901
55.876,0.065,55.941
55.977,0.003,55.980
55.999,0.020,56.020
55.942,0.117,56.059
55.807,0.292,56.099
55.593,0.546,56.138
55.301,0.877,56.178
54.932,1.285,56.217
54.487,1.770,56.257
53.968,2.329,56.297
53.376,2.960,56.336
52.713,3.663,56.376
51.980,4.436,56.416
51.181,5.275,56.456
50.318,6.178,56.496
49.392,7.143,56.535
48.408,8.167,56.575
47.368,9.247,56.615
46.276,10.379,56.655
45.134,11.561,56.695
43.947,12.788,56.735
42.718,14.057,56.775
41.451,15.364,56.815
40.150,16.706,56.855
38.818,18.077,56.895
37.461,19.474,56.936
36.083,20.893,56.976
34.687,22.329,57.016
33.278,23.778,57.056
31.861,25.236,57.096
30.439,26.697,57.136
29.018,28.159,57.177
27.601,29.615,57.217
26.194,31.063,57.257
24.800,32.497,57.297
23.424,33.913,57.337
22.070,35.308,57.377
20.742,36.676,57.418
19.444,38.014,57.458
18.180,39.318,57.498
16.954,40.584,57.537
15.769,41.808,57.577
14.629,42.988,57.617
13.536,44.120,57.656
12.495,45.201,57.695
11.507,46.227,57.734
10.575,47.198,57.773
9.701,48.110,57.811
8.887,48.962,57.849
8.134,49.752,57.887
7.444,50.479,57.923
6.816,51.143,57.959
6.252,51.743,57.994
5.749,52.279,58.028
5.309,52.752,58.061
4.928,53.164,58.093
4.606,53.517,58.123
4.339,53.812,58.151
4.126,54.052,58.177
3.962,54.240,58.203
3.847,54.379,58.226
3.777,54.472,58.249
3.750,54.520,58.270
3.767,54.525,58.292
3.828,54.486,58.314
3.934,54.403,58.337
4.088,54.274,58.361
4.292,54.096,58.387
4.549,53.866,58.415
4.862,53.582,58.444
5.234,53.241,58.475
5.667,52.840,58.507
6.163,52.378,58.541
6.724,51.852,58.576
7.350,51.262,58.612
8.042,50.607,58.649
8.798,49.888,58.686
9.620,49.105,58.725
10.505,48.258,58.764
11.453,47.350,58.803
12.461,46.382,58.842
13.527,45.355,58.882
14.650,44.273,58.923
15.825,43.138,58.963
17.051,41.953,59.004
18.323,40.722,59.045
19.640,39.447,59.086
20.996,38.132,59.128
22.388,36.781,59.169
23.812,35.398,59.210
25.265,33.988,59.252
26.741,32.553,59.294
28.236,31.099,59.336
29.747,29.631,59.377
31.268,28.152,59.419
32.795,26.667,59.461
34.323,25.181,59.503
35.848,23.698,59.546
37.364,22.223,59.588
38.868,20.762,59.630
40.355,19.317,59.672
41.820,17.895,59.715
43.259,16.498,59.757
44.666,15.133,59.799
46.038,13.803,59.842
47.371,12.513,59.884
48.660,11.266,59.927
49.902,10.068,59.969
51.091,8.920,60.012
52.226,7.829,60.055
53.301,6.796,60.097
54.314,5.826,60.140
55.262,4.921,60.183
56.141,4.085,60.225
56.948,3.320,60.268
57.681,2.630,60.311
58.339,2.015,60.354
58.917,1.480,60.397
59.416,1.024,60.440
59.832,0.651,60.483
60.165,0.361,60.526
60.414,0.155,60.569
60.577,0.035,60.612
60.654,0.000,60.655
60.646,0.052,60.698
60.551,0.190,60.741
60.370,0.415,60.784
60.103,0.724,60.828
59.752,1.119,60.871
59.317,1.597,60.914
58.800,2.157,60.958
58.202,2.799,61.001
57.525,3.519,61.044
56.771,4.317,61.088
55.943,5.188,61.131
55.042,6.133,61.175
54.072,7.146,61.218
53.036,8.225,61.262
51.937,9.368,61.305
50.779,10.570,61.349
49.564,11.829,61.393
48.297,13.139,61.436
46.982,14.498,61.480
45.623,15.901,61.524
44.224,17.344,61.568
42.789,18.822,61.612
41.324,20.332,61.655
39.832,21.868,61.699
38.318,23.425,61.743
36.787,25.000,61.787
35.244,26.587,61.831
33.694,28.181,61.875
32.141,29.778,61.919
30.590,31.373,61.963
